MAP INDEX,MUNICIPALITY,BARANGAY,LOT NO. ,SURVEY NO.,TCT NO.,TD NO. ,REGISTERED OWNER,AREA (SQM),AREA (HA),AGREEMENT GROUP,AGREEMENT DOC TYPE,PROPERTY DOCUMENT NO.,AGREEMENT TYPE,AGREEMENT AREA (SQM),AGREEMENT AREA (HA),PRICE/SQM,LAND VALUE,INFUSION STATUS,INFUSED AREA (SQM),INFUSION AREA (HA),INFUSION DATE,INFUSION YEAR,INFUSION REMARKS,INFUSION BATCH,DATE OF TITLE TRANSFER,ACQUISITION GROUP,ACQUISITION CLASS,LAND GROUP,ESTATE LANDS,CLEAN-UP BATCH,CLEAN-UP STATUS,CLEAN-UP TIMELINE,LEGAL REMARKS,TD CLASSIFICATION,DAR STATUS,DATE DAR GRANTED,DAR REFERENCE NO.,CERTIFICATE OF FINALITY,LIAISON REMARKS,CURRENT DOC TYPE,DOCUMENT CONTROL,GIS STATUS,GIS REMARKS,DATE UPDATED,UPDATE LOG,PROJECT,ZONAL VALUE,ZONAL VALUE PRICE/SQM,LAND VALUE PER CONTRACT,CONTRACT PRICE/SQM,PROJECT ALLOCATION,LAND USE CLASSIFICATION,BD INDEX,DOCUMENT LINK,IMAGE LINK
CGAP-0006,CARMONA, ,  1073-P,,No Title,04-0010-00533,"LEJOS, FAUSTINO M/TO JULIANA M. (GATCHALIAN)",16878,1.6878,EXTERNAL LOTS,NOT INDICATED,04-0010-00533,ORIGINAL,16878,1.6878,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,MAPPED,,,,,42195000,2500,21941400,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0007,CARMONA, ,  1073-P,,No Title,04-0010-00532,RURAL BANK OF GEN. TRIAS (GATCHALIAN),16878,1.6878,EXTERNAL LOTS,NOT INDICATED,04-0010-00532,ORIGINAL,16878,1.6878,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,MAPPED,,,,,42195000,2500,21941400,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0008,CARMONA,MILAGROSA,  1075-D,SWO-40783,T-160067,04-0010-00516,"MEDINA, ANTONIO B. M/TO  LEONIDA (GATCHALIAN)",22592,2.2592,EXTERNAL LOTS,NOT INDICATED,T-160067,ORIGINAL,22592,2.2592,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,MAPPED,,,,,56480000,2500,29369600,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0009,CARMONA,,  1074-D,,T-160066,04-0010-00509,"MEDINA, ANTONIO B. M/TO  LEONIDA (GATCHALIAN)",3005,0.3005,EXTERNAL LOTS,NOT INDICATED,T-160066,ORIGINAL,3005,0.3005,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,MAPPED,,,,,7512500,2500,3906500,1300,No Project Allocation,TBD,79,,
CGAP-0010,CARMONA,MILAGROSA,  1078-A,,T-207928,04-0010-00528,GATCHALIAN REALTY INC,21570,2.157,EXTERNAL LOTS,NOT INDICATED,T-207928,ORIGINAL,21570,2.157,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,MAPPED,,,,,53925000,2500,28041000,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0011,CARMONA,MILAGROSA,  1074-E-1,,T-935782,04-0010-00558,GATCHALIAN REALTY INC,512,0.0512,EXTERNAL LOTS,NOT INDICATED,T-935782,ORIGINAL,512,0.0512,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,UNMAPPED,,,,,1280000,2500,665600,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0012,CARMONA,LANTIC,12,PCS-04-027629,057-2012033293, ,"CONTEMPRATO, PRIMITIVO, (WIDOWER)",10910,1.091,EXTERNAL LOTS,NOT INDICATED,057-2012033293,ORIGINAL,10910,1.091,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,18-Mar-24,,,27275000,2500,14183000,1300,No Project Allocation,TBD,86,,
CGAP-0013,CARMONA,LANTIC,11,PCS-04-027629,057-2012033292, ,"CONTEMPRATO, PRIMITIVO, (WIDOWER)",450,0.045,EXTERNAL LOTS,NOT INDICATED,057-2012033292,ORIGINAL,450,0.045,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,18-Mar-24,,,1125000,2500,585000,1300,No Project Allocation,TBD,90,,
CGAP-0014,CARMONA,LANTIC,3,PCS-04-027629,057-2020009701, ,JAIME T. LIM M/TO JENNY SEE LIM,1000,0.1,EXTERNAL LOTS,NOT INDICATED,057-2020009701,ORIGINAL,1000,0.1,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,13-Mar-24,,,2500000,2500,1300000,1300,No Project Allocation,TBD,83,,
CGAP-0015,CARMONA,LANTIC,7,PCS-04-027629,057-2020009696, ,JAIME T. LIM M/TO JENNY SEE LIM,1000,0.1,EXTERNAL LOTS,NOT INDICATED,057-2020009696,ORIGINAL,1000,0.1,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,13-Mar-24,,,2500000,2500,1300000,1300,No Project Allocation,TBD,87,,
CGAP-0016,CARMONA,LANTIC,10,,057-2020009698, ,JAIME T. LIM M/TO JENNY SEE LIM,365,0.0365,EXTERNAL LOTS,NOT INDICATED,057-2020009698,ORIGINAL,365,0.0365,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,13-Mar-24,,,912500,2500,474500,1300,No Project Allocation,TBD,88,,
CGAP-0017,CARMONA,BANCAL,  1075-K,SWO-40783,T-197873,04-0010-00523,"AMBAYEC, EPIFANIO M/TO MILAGROS",6608,0.6608,EXTERNAL LOTS,NOT INDICATED,T-197873,ORIGINAL,6608,0.6608,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,MAPPED,,,,,16520000,2500,8590400,1300,No Project Allocation,TBD,80,,
CGAP-0018,CARMONA,LANTIC,1079,,T-888637, ,BEL-AIR &BROKERAGE INC AND KAMIAS KOMMERCIAL CORPORATION,38341,3.8341,EXTERNAL LOTS,NOT INDICATED,T-888637,ORIGINAL,38341,3.8341,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,18-Mar-24,,,95852500,2500,49843300,1300,No Project Allocation,TBD,119,,
CGAP-0019,CARMONA, ,  1078-D,,T-1321305,04-0010-11471,"ZAMORA, SALVADOR II B. M/TO DOLORES T",22752,2.2752,EXTERNAL LOTS,NOT INDICATED,T-1321305,ORIGINAL,22752,2.2752,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,18-Mar-24,,,56880000,2500,29577600,1300,No Project Allocation,TBD,127,,
CGAP-0020,CARMONA, ,  861-B,SWO-40783,057-2016011137,04-0010-21481,PROPERTY COMPANY OF FRIENDS INC,16904,1.6904,EXTERNAL LOTS,NOT INDICATED,057-2016011137,ORIGINAL,16904,1.6904,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,MAPPED,,20-May-24,,,42260000,2500,21975200,1300,No Project Allocation,TBD,78,,
CGAP-0021,CARMONA,BANCAL,  861-E,,T-643596, ,"ALANO, CONSUELO (SINGLE)",20122,2.0122,EXTERNAL LOTS,NOT INDICATED,T-643596,ORIGINAL,20122,2.0122,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,UNMAPPED,,,,,50305000,2500,26158600,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0022,CARMONA, ,868,,No Title,04-0010-00572,"LAURITO, ANTONIO M/TO MEDIN A.",1464,0.1464,EXTERNAL LOTS,NOT INDICATED,04-0010-00572,ORIGINAL,1464,0.1464,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,UNMAPPED,,,,,3660000,2500,1903200,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0023,CARMONA, ,  864-C,,T-203023,04-0010-00563,"SAWAL, TRINIDAD (WIDOW) B.",22596,2.2596,EXTERNAL LOTS,NOT INDICATED,T-203023,ORIGINAL,22596,2.2596,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,UNMAPPED,,,,,56490000,2500,29374800,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0024,CARMONA, ,  869-B,,T-152135,04-0010-00575,"INES, CESAR M/TO TERESITA LOYOLA",22121,2.2121,EXTERNAL LOTS,NOT INDICATED,T-152135,ORIGINAL,22121,2.2121,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,UNMAPPED,,,,,55302500,2500,28757300,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0025,CARMONA, ,872,,No Title,04-0010-13022,"CASAL-CLEDERA, GLORIA P",11920,1.192,EXTERNAL LOTS,NOT INDICATED,04-0010-13022,ORIGINAL,11920,1.192,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,UNMAPPED,,,,,29800000,2500,15496000,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0026,CARMONA, ,837,,O-2365,04-0010-00579,"DURUMPILI, ARTEMIO (AWARDEE)",13702,1.3702,EXTERNAL LOTS,NOT INDICATED,O-2365,ORIGINAL,13702,1.3702,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,NOT ON HAND,UNMAPPED,,,,,34255000,2500,17812600,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0027,CARMONA, ,871,CAD-285,057-2013011312, ,"GARCIA,TEODORICO A. M/TO VICTORIA LAO",13835,1.3835,EXTERNAL LOTS,NOT INDICATED,057-2013011312,ORIGINAL,13835,1.3835,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,20-May-24,,,34587500,2500,17985500,1300,No Project Allocation,TBD,120,,
CGAP-0028,CARMONA,LANTIC,  1082-A,SWO-40767,T-219743,04-0010-00586,CONSUELO H. TRIBO M/TO CLEMENTE S.  ALANO,13705,1.3705,EXTERNAL LOTS,NOT INDICATED,T-219743,ORIGINAL,13705,1.3705,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,18-Mar-24,,,34262500,2500,17816500,1300,No Project Allocation,TBD,No ID/Unmapped,,
CGAP-0029,CARMONA,LANTIC,  1081-A,CSD-04-017024-D,P-10395,04-0010-00595,"DELOS SANTOS, MARGARITA (WIDOW)",44765,4.4765,EXTERNAL LOTS,NOT INDICATED,P-10395,ORIGINAL,44765,4.4765,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,"PLOTTED MARCH 14, 2024",14-Mar-24,,,111912500,2500,58194500,1300,No Project Allocation,TBD,134,,
CGAP-0030,CARMONA,LANTIC,  1081-B,CSD-04-017024-D,P-10394,04-0010-00596,"DELOS SANTOS, MARGARITA (WIDOW)",44766,4.4766,EXTERNAL LOTS,NOT INDICATED,P-10394,ORIGINAL,44766,4.4766,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,"PLOTTED MARCH 14, 2024",14-Mar-24,,,111915000,2500,58195800,1300,No Project Allocation,TBD,125,,
CGAP-0031,CARMONA,LANTIC,  2-F,PSD-04-215853,057-2013013818, ,"CRUZ, CONSOLACION (WIDOW) ET. AL.",989,0.0989,EXTERNAL LOTS,NOT INDICATED,057-2013013818,ORIGINAL,989,0.0989,1300,N/A,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,Not Transferred Yet,Not Transferred Yet,EXTERNAL,CGAP - MOA ORIGINAL,CARMONA GAP,Not Included,GAP LOT,GAP-EXTERNAL,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,No DAR Reference No.,N/A,,NONE,UPLOADED ON DRIVE,MAPPED,,18-Mar-24,,,2472500,2500,1285700,1300,No Project Allocation,TBD,162,,
